"type"	"occupation"	"w_number_of_workers"	"w_median_weekly_earnings"	"m_number_of_workers"	"m_median_weekly_earnings"	"t_number_of_workers"	"t_median_weekly_earnings"	"is_pay_gap"	"cents_on_the_dollar"	"pay_gap_weekly"	"pay_gap_yearly"	"year"
"Natural resources, construction, and maintenance"	"Security and fire alarm systems installers"	0		34		34						2012
"Natural resources, construction, and maintenance"	"Aircraft mechanics and service technicians"	2		142	986	144	993					2012
"Natural resources, construction, and maintenance"	"Automotive body and related repairers"	2		119	618	120	619					2012
"Natural resources, construction, and maintenance"	"Automotive glass installers and repairers"	0		17		17						2012
"Natural resources, construction, and maintenance"	"Automotive service technicians and mechanics"	7		684	704	691	702					2012
"Natural resources, construction, and maintenance"	"Bus and truck mechanics and diesel engine specialists"	1		271	844	271	843					2012
"Natural resources, construction, and maintenance"	"Heavy vehicle and mobile equipment service technicians and mechanics"	3		171	942	174	941					2012
"Natural resources, construction, and maintenance"	"Small engine mechanics"	1		41		42						2012
"Natural resources, construction, and maintenance"	"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"	1		66	496	67	493					2012
"Natural resources, construction, and maintenance"	"Control and valve installers and repairers"	1		24		25						2012
"Natural resources, construction, and maintenance"	"Heating, air conditioning, and refrigeration mechanics and installers"	4		276	829	280	827					2012
"Natural resources, construction, and maintenance"	"Home appliance repairers"	3		33		35						2012
"Natural resources, construction, and maintenance"	"Industrial and refractory machinery mechanics"	10		415	871	424	867					2012
"Natural resources, construction, and maintenance"	"Maintenance and repair workers, general"	6		364	732	371	731					2012
"Natural resources, construction, and maintenance"	"Maintenance workers, machinery"	3		22		25						2012
"Natural resources, construction, and maintenance"	"Millwrights"	3		46		50	938					2012
"Natural resources, construction, and maintenance"	"Electrical power-line installers and repairers"	2		115	990	117	988					2012
"Natural resources, construction, and maintenance"	"Telecommunications line installers and repairers"	8		164	910	171	915					2012
"Natural resources, construction, and maintenance"	"Precision instrument and equipment repairers"	5		38		44						2012
"Natural resources, construction, and maintenance"	"Wind turbine service technicians"	0		1		1						2012
"Natural resources, construction, and maintenance"	"Coin, vending, and amusement machine servicers and repairers"	1		22		23						2012
"Natural resources, construction, and maintenance"	"Commercial divers"	0		0		0						2012
"Natural resources, construction, and maintenance"	"Locksmiths and safe repairers"	0		17		17						2012
"Natural resources, construction, and maintenance"	"Manufactured building and mobile home installers"	0		4		4						2012
"Natural resources, construction, and maintenance"	"Riggers"	0		10		10						2012
"Natural resources, construction, and maintenance"	"Signal and track switch repairers"	0		3		3						2012
"Natural resources, construction, and maintenance"	"Helpers--installation, maintenance, and repair workers"	0		20		20						2012
"Natural resources, construction, and maintenance"	"Other installation, maintenance, and repair workers"	5		142	671	147	677					2012
"Production, transportation, and material moving"	"First-line supervisors of production and operating workers"	132	674	601	954	734	917	"y"	70	280	14560	2012
"Production, transportation, and material moving"	"Aircraft structure, surfaces, rigging, and systems assemblers"	5		17		22						2012
"Production, transportation, and material moving"	"Electrical, electronics, and electromechanical assemblers"	78	520	77	620	155	564	"y"	83	100	5200	2012
"Production, transportation, and material moving"	"Engine and other machine assemblers"	5		26		32						2012
"Production, transportation, and material moving"	"Structural metal fabricators and fitters"	2		17		19						2012
"Production, transportation, and material moving"	"Miscellaneous assemblers and fabricators"	320	499	513	606	833	557	"y"	82	107	5564	2012
"Production, transportation, and material moving"	"Bakers"	55	450	65	501	121	474	"y"	89	51	2652	2012
"Production, transportation, and material moving"	"Butchers and other meat, poultry, and fish processing workers"	64	417	208	537	273	507	"y"	77	120	6240	2012
"Production, transportation, and material moving"	"Food and tobacco roasting, baking, and drying machine operators and tenders"	4		5		10						2012
"Production, transportation, and material moving"	"Food batchmakers"	32		27		59	512					2012
"Production, transportation, and material moving"	"Food cooking machine operators and tenders"	4		9		13						2012
"Production, transportation, and material moving"	"Food processing workers, all other"	23		67	549	90	529					2012
"Production, transportation, and material moving"	"Computer control programmers and operators"	5		62	728	67	710					2012
"Production, transportation, and material moving"	"Extruding and drawing machine setters, operators, and tenders, metal and plastic"	3		7		10						2012
"Production, transportation, and material moving"	"Forging machine setters, operators, and tenders, metal and plastic"	0		10		10						2012
"Production, transportation, and material moving"	"Rolling machine setters, operators, and tenders, metal and plastic"	0		7		7						2012
"Production, transportation, and material moving"	"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"	15		65	575	80	556					2012
"Production, transportation, and material moving"	"Drilling and boring machine tool setters, operators, and tenders, metal and plastic"	1		2		3						2012
"Production, transportation, and material moving"	"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"	5		48		53	588					2012
"Production, transportation, and material moving"	"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"	4		11		15						2012
"Production, transportation, and material moving"	"Milling and planing machine setters, operators, and tenders, metal and plastic"	0		3		3						2012
"Production, transportation, and material moving"	"Machinists"	16		366	762	381	760					2012
"Production, transportation, and material moving"	"Metal furnace operators, tenders, pourers, and casters"	1		12		12						2012
"Production, transportation, and material moving"	"Model makers and patternmakers, metal and plastic"	1		6		7						2012
"Production, transportation, and material moving"	"Molders and molding machine setters, operators, and tenders, metal and plastic"	9		30		38						2012
"Production, transportation, and material moving"	"Multiple machine tool setters, operators, and tenders, metal and plastic"	0		7		7						2012
"Production, transportation, and material moving"	"Tool and die makers"	0		51	1005	51	1005					2012
"Production, transportation, and material moving"	"Welding, soldering, and brazing workers"	26		525	722	551	712					2012
"Production, transportation, and material moving"	"Heat treating equipment setters, operators, and tenders, metal and plastic"	0		5		5						2012
"Production, transportation, and material moving"	"Layout workers, metal and plastic"	0		6		6						2012
"Production, transportation, and material moving"	"Plating and coating machine setters, operators, and tenders, metal and plastic"	2		13		16						2012
"Production, transportation, and material moving"	"Tool grinders, filers, and sharpeners"	0		2		2						2012
"Production, transportation, and material moving"	"Metal workers and plastic workers, all other"	70	544	304	645	374	618	"y"	84	101	5252	2012
"Production, transportation, and material moving"	"Prepress technicians and workers"	9		14		23						2012
"Production, transportation, and material moving"	"Printing press operators"	28		139	666	167	628					2012
"Production, transportation, and material moving"	"Print binding and finishing workers"	9		8		17						2012
"Production, transportation, and material moving"	"Laundry and dry-cleaning workers"	66	359	57	462	123	410	"y"	77	103	5356	2012
"Production, transportation, and material moving"	"Pressers, textile, garment, and related materials"	29		12		41						2012
"Production, transportation, and material moving"	"Sewing machine operators"	86	369	41		127	385					2012
"Production, transportation, and material moving"	"Shoe and leather workers and repairers"	2		3		5						2012
"Production, transportation, and material moving"	"Shoe machine operators and tenders"	5		5		10						2012
"Production, transportation, and material moving"	"Tailors, dressmakers, and sewers"	30		12		42						2012
"Production, transportation, and material moving"	"Textile bleaching and dyeing machine operators and tenders"	1		5		5						2012
"Production, transportation, and material moving"	"Textile cutting machine setters, operators, and tenders"	4		5		9						2012
"Production, transportation, and material moving"	"Textile knitting and weaving machine setters, operators, and tenders"	5		0		6						2012
"Production, transportation, and material moving"	"Textile winding, twisting, and drawing out machine setters, operators, and tenders"	5		10		15						2012
"Production, transportation, and material moving"	"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"	0		2		2						2012
"Production, transportation, and material moving"	"Fabric and apparel patternmakers"	1		0		1						2012
"Production, transportation, and material moving"	"Upholsterers"	1		12		14						2012
"Production, transportation, and material moving"	"Textile, apparel, and furnishings workers, all other"	10		6		16						2012
"Production, transportation, and material moving"	"Cabinetmakers and bench carpenters"	2		34		35						2012
"Production, transportation, and material moving"	"Furniture finishers"	2		3		5						2012
"Production, transportation, and material moving"	"Model makers and patternmakers, wood"	0		0		0						2012
"Production, transportation, and material moving"	"Sawing machine setters, operators, and tenders, wood"	1		25		26						2012
"Production, transportation, and material moving"	"Woodworking machine setters, operators, and tenders, except sawing"	3		18		21						2012
"Production, transportation, and material moving"	"Woodworkers, all other"	0		12		12						2012
"Production, transportation, and material moving"	"Power plant operators, distributors, and dispatchers"	2		41		43						2012
"Production, transportation, and material moving"	"Stationary engineers and boiler operators"	6		99	831	105	830					2012
"Production, transportation, and material moving"	"Water and wastewater treatment plant and system operators"	3		67	870	70	862					2012
"Production, transportation, and material moving"	"Miscellaneous plant and system operators"	4		31		35						2012
"Production, transportation, and material moving"	"Chemical processing machine setters, operators, and tenders"	10		62	890	72	851					2012
"Production, transportation, and material moving"	"Crushing, grinding, polishing, mixing, and blending workers"	12		74	651	86	628					2012
"Production, transportation, and material moving"	"Cutting workers"	11		49		60	524					2012
"Production, transportation, and material moving"	"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"	10		28		38						2012
"Production, transportation, and material moving"	"Furnace, kiln, oven, drier, and kettle operators and tenders"	1		12		14						2012
"Production, transportation, and material moving"	"Inspectors, testers, sorters, samplers, and weighers"	206	570	416	824	621	729	"y"	69	254	13208	2012
"Production, transportation, and material moving"	"Jewelers and precious stone and metal workers"	9		13		22						2012
"Production, transportation, and material moving"	"Medical, dental, and ophthalmic laboratory technicians"	42		35		76	585					2012
"Production, transportation, and material moving"	"Packaging and filling machine operators and tenders"	131	431	111	553	242	481	"y"	77	122	6344	2012
"Production, transportation, and material moving"	"Painting workers"	24		111	654	135	626					2012
"Production, transportation, and material moving"	"Photographic process workers and processing machine operators"	15		24		39						2012
"Production, transportation, and material moving"	"Semiconductor processors"	3		2		6						2012
"Production, transportation, and material moving"	"Adhesive bonding machine operators and tenders"	2		6		8						2012
"Production, transportation, and material moving"	"Cleaning, washing, and metal pickling equipment operators and tenders"	1		7		8						2012
"Production, transportation, and material moving"	"Cooling and freezing equipment operators and tenders"	1		1		2						2012
"Production, transportation, and material moving"	"Etchers and engravers"	1		3		4						2012
"Production, transportation, and material moving"	"Molders, shapers, and casters, except metal and plastic"	5		21		26						2012
"Production, transportation, and material moving"	"Paper goods machine setters, operators, and tenders"	9		23		32						2012
"Production, transportation, and material moving"	"Tire builders"	3		14		17						2012
"Production, transportation, and material moving"	"Helpers--production workers"	13		26		40						2012
"Production, transportation, and material moving"	"Production workers, all other"	223	504	626	619	849	584	"y"	81	115	5980	2012
"Production, transportation, and material moving"	"Supervisors of transportation and material moving workers"	42		146	873	189	812					2012
"Production, transportation, and material moving"	"Aircraft pilots and flight engineers"	4		86	1444	90	1440					2012
"Production, transportation, and material moving"	"Air traffic controllers and airfield operations specialists"	3		44		47						2012
"Production, transportation, and material moving"	"Flight attendants"	42		16		59	775					2012
"Production, transportation, and material moving"	"Ambulance drivers and attendants, except emergency medical technicians"	3		13		16						2012
"Production, transportation, and material moving"	"Bus drivers"	126	516	177	652	302	601	"y"	79	136	7072	2012
"Production, transportation, and material moving"	"Driver/sales workers and truck drivers"	101	537	2433	736	2533	730	"y"	72	199	10348	2012
"Production, transportation, and material moving"	"Taxi drivers and chauffeurs"	22		161	572	183	554					2012
"Production, transportation, and material moving"	"Motor vehicle operators, all other"	7		28		35						2012
"Production, transportation, and material moving"	"Locomotive engineers and operators"	2		42		44						2012
"Production, transportation, and material moving"	"Railroad brake, signal, and switch operators"	0		9		9						2012
"Production, transportation, and material moving"	"Railroad conductors and yardmasters"	2		45		46						2012
"Production, transportation, and material moving"	"Subway, streetcar, and other rail transportation workers"	0		12		12						2012
"Production, transportation, and material moving"	"Sailors and marine oilers"	1		14		15						2012
"Production, transportation, and material moving"	"Ship and boat captains and operators"	1		28		29						2012
"Production, transportation, and material moving"	"Ship engineers"	0		5		5						2012
"Production, transportation, and material moving"	"Bridge and lock tenders"	0		8		8						2012
"Production, transportation, and material moving"	"Parking lot attendants"	5		45		50	404					2012
"Production, transportation, and material moving"	"Automotive and watercraft service attendants"	4		63	453	67	428					2012
"Production, transportation, and material moving"	"Transportation inspectors"	4		25		29						2012
"Production, transportation, and material moving"	"Transportation attendants, except flight attendants"	15		8		23						2012
"Production, transportation, and material moving"	"Other transportation workers"	1		13		14						2012
"Production, transportation, and material moving"	"Conveyor operators and tenders"	2		1		3						2012
"Production, transportation, and material moving"	"Crane and tower operators"	3		58	777	61	753					2012
"Production, transportation, and material moving"	"Dredge, excavating, and loading machine operators"	1		31		32						2012
"Production, transportation, and material moving"	"Hoist and winch operators"	0		5		5						2012
"Production, transportation, and material moving"	"Industrial truck and tractor operators"	31		467	566	498	562					2012
"Production, transportation, and material moving"	"Cleaners of vehicles and equipment"	30		187	431	217	425					2012
"Production, transportation, and material moving"	"Laborers and freight, stock, and material movers, hand"	218	476	1103	519	1322	510	"y"	91	43	2236	2012
"Production, transportation, and material moving"	"Machine feeders and offbearers"	8		18		26						2012
"Production, transportation, and material moving"	"Packers and packagers, hand"	160	394	146	426	306	404	"y"	92	32	1664	2012
"Production, transportation, and material moving"	"Pumping station operators"	1		20		21						2012
"Production, transportation, and material moving"	"Refuse and recyclable material collectors"	3		71	497	75	501					2012
"Production, transportation, and material moving"	"Mine shuttle car operators"	0		1		1						2012
"Production, transportation, and material moving"	"Tank car, truck, and ship loaders"	0		3		3						2012
"Production, transportation, and material moving"	"Material moving workers, all other"	1		39		40						2012
"Management, professional, and related"	"Chief executives"	286	1811	764	2266	1051	2069	"y"	79	455	23660	2013
"Management, professional, and related"	"General and operations managers"	250	1161	698	1444	947	1370	"y"	80	283	14716	2013
"Management, professional, and related"	"Legislators"	4		6		10						2013
"Management, professional, and related"	"Advertising and promotions managers"	35		18		53	1526					2013
"Management, professional, and related"	"Marketing and sales managers"	353	1124	476	1658	829	1389	"y"	67	534	27768	2013
"Management, professional, and related"	"Public relations and fundraising managers"	29		21		51	1159					2013
"Management, professional, and related"	"Administrative services managers"	38		71	1232	109	1198					2013
"Management, professional, and related"	"Computer and information systems managers"	163	1549	407	1769	570	1728	"y"	87	220	11440	2013
"Management, professional, and related"	"Financial managers"	613	1064	514	1518	1127	1236	"y"	70	454	23608	2013
"Management, professional, and related"	"Compensation and benefits managers"	8		3		11						2013
"Management, professional, and related"	"Human resources managers"	152	1240	60	1536	211	1327	"y"	80	296	15392	2013
"Management, professional, and related"	"Training and development managers"	17		16		33						2013
"Management, professional, and related"	"Industrial production managers"	41		215	1352	256	1338					2013
"Management, professional, and related"	"Purchasing managers"	89	1290	92	1441	181	1358	"y"	89	151	7852	2013
"Management, professional, and related"	"Transportation, storage, and distribution managers"	58	920	194	1029	252	1005	"y"	89	109	5668	2013
"Management, professional, and related"	"Farmers, ranchers, and other agricultural managers"	19		78	716	97	731					2013
"Management, professional, and related"	"Construction managers"	38		376	1328	414	1275					2013
"Management, professional, and related"	"Education administrators"	450	1130	248	1543	698	1259	"y"	73	413	21476	2013
"Management, professional, and related"	"Architectural and engineering managers"	13		104	1898	117	1894					2013
"Management, professional, and related"	"Food service managers"	335	620	381	801	716	701	"y"	77	181	9412	2013
"Management, professional, and related"	"Funeral service managers"	3		1		4						2013
"Management, professional, and related"	"Gaming managers"	4		12		16						2013
"Management, professional, and related"	"Lodging managers"	53	858	45		98	901					2013
"Management, professional, and related"	"Medical and health services managers"	375	1224	154	1412	529	1258	"y"	86	188	9776	2013
"Management, professional, and related"	"Natural sciences managers"	4		8		12						2013
"Management, professional, and related"	"Postmasters and mail superintendents"	17		13		30						2013
"Management, professional, and related"	"Property, real estate, and community association managers"	198	784	161	1068	358	862	"y"	73	284	14768	2013
"Management, professional, and related"	"Social and community service managers"	185	1004	94	1150	280	1042	"y"	87	146	7592	2013
"Management, professional, and related"	"Emergency management directors"	3		6		9						2013
"Management, professional, and related"	"Managers, all other"	905	1105	1527	1399	2431	1264	"y"	78	294	15288	2013
"Management, professional, and related"	"Agents and business managers of artists, performers, and athletes"	18		20		38						2013
"Management, professional, and related"	"Buyers and purchasing agents, farm products"	5		11		17						2013
"Management, professional, and related"	"Wholesale and retail buyers, except farm products"	88	930	71	871	158	899	"n"	106	-59	-3068	2013
"Management, professional, and related"	"Purchasing agents, except wholesale, retail, and farm products"	151	912	112	1116	263	984	"y"	81	204	10608	2013
"Management, professional, and related"	"Claims adjusters, appraisers, examiners, and investigators"	195	838	104	1144	300	931	"y"	73	306	15912	2013
"Management, professional, and related"	"Compliance officers"	99	1081	83	1170	182	1124	"y"	92	89	4628	2013
"Management, professional, and related"	"Cost estimators"	13		89	1071	102	1050					2013
"Management, professional, and related"	"Human resources workers"	366	958	131	1139	498	981	"y"	84	181	9412	2013
"Management, professional, and related"	"Compensation, benefits, and job analysis specialists"	59	1010	14		72	1033					2013
"Management, professional, and related"	"Training and development specialists"	62	979	47		109	1079					2013
"Management, professional, and related"	"Logisticians"	33		58	1045	91	993					2013
"Management, professional, and related"	"Management analysts"	229	1319	318	1614	547	1450	"y"	81	295	15340	2013
"Management, professional, and related"	"Meeting, convention, and event planners"	80	901	15		95	930					2013
"Management, professional, and related"	"Fundraisers"	58	1084	22		80	1124					2013
"Management, professional, and related"	"Market research analysts and marketing specialists"	110	967	80	1171	190	1139	"y"	82	204	10608	2013
"Management, professional, and related"	"Business operations specialists, all other"	110	899	69	1226	180	1044	"y"	73	327	17004	2013
"Management, professional, and related"	"Accountants and auditors"	945	1029	571	1268	1516	1109	"y"	81	239	12428	2013
"Management, professional, and related"	"Appraisers and assessors of real estate"	27		33		60	1142					2013
"Management, professional, and related"	"Budget analysts"	26		31		58	1389					2013
"Management, professional, and related"	"Credit analysts"	19		12		31						2013
"Management, professional, and related"	"Financial analysts"	33		56	1757	89	1466					2013
"Management, professional, and related"	"Personal financial advisors"	72	1149	215	1565	288	1424	"y"	73	416	21632	2013
"Management, professional, and related"	"Insurance underwriters"	61	879	37		98	1045					2013
"Management, professional, and related"	"Financial examiners"	6		4		10						2013
"Management, professional, and related"	"Credit counselors and loan officers"	208	864	152	1162	360	970	"y"	74	298	15496	2013
"Management, professional, and related"	"Tax examiners and collectors, and revenue agents"	43		19		62	952					2013
"Management, professional, and related"	"Tax preparers"	34		22		56	767					2013
"Management, professional, and related"	"Financial specialists, all other"	49		38		87	962					2013
"Management, professional, and related"	"Computer and information research scientists"	3		12		15						2013
"Management, professional, and related"	"Computer systems analysts"	158	1216	285	1455	443	1367	"y"	83	239	12428	2013
"Management, professional, and related"	"Information security analysts"	10		43		53	1460					2013
"Management, professional, and related"	"Computer programmers"	106	1162	332	1428	437	1372	"y"	81	266	13832	2013
"Management, professional, and related"	"Software developers, applications and systems software"	209	1370	844	1737	1053	1643	"y"	78	367	19084	2013
"Management, professional, and related"	"Web developers"	53	937	84	1157	137	1060	"y"	80	220	11440	2013
"Management, professional, and related"	"Computer support specialists"	134	901	340	1019	474	980	"y"	88	118	6136	2013
"Management, professional, and related"	"Database administrators"	30		65	1563	95	1345					2013
"Management, professional, and related"	"Network and computer systems administrators"	37		173	1252	210	1237					2013
"Management, professional, and related"	"Computer network architects"	9		122	1593	131	1630					2013
"Management, professional, and related"	"Computer occupations, all other"	81	1176	277	1136	359	1149	"n"	103	-40	-2080	2013
"Management, professional, and related"	"Actuaries"	9		17		25						2013
"Management, professional, and related"	"Mathematicians"	0		2		2						2013
"Management, professional, and related"	"Operations research analysts"	63	1313	56	1569	119	1444	"y"	83	256	13312	2013
"Management, professional, and related"	"Statisticians"	23		42		65	1414					2013
"Management, professional, and related"	"Miscellaneous mathematical science occupations"	1		0		1						2013
"Management, professional, and related"	"Architects, except naval"	30		88	1347	118	1292					2013
"Management, professional, and related"	"Surveyors, cartographers, and photogrammetrists"	9		22		32						2013
"Management, professional, and related"	"Aerospace engineers"	13		124	1873	137	1865					2013
"Management, professional, and related"	"Agricultural engineers"	0		3		3						2013
"Management, professional, and related"	"Biomedical engineers"	2		9		10						2013
"Management, professional, and related"	"Chemical engineers"	8		48		56	1568					2013
"Management, professional, and related"	"Civil engineers"	36		288	1417	324	1373					2013
"Management, professional, and related"	"Computer hardware engineers"	10		82	1544	92	1507					2013
"Management, professional, and related"	"Electrical and electronics engineers"	21		247	1514	268	1522					2013
"Management, professional, and related"	"Environmental engineers"	6		22		28						2013
"Management, professional, and related"	"Industrial engineers, including health and safety"	30		151	1417	181	1385					2013
"Management, professional, and related"	"Marine engineers and naval architects"	0		12		12						2013
"Management, professional, and related"	"Materials engineers"	7		36		43						2013
"Management, professional, and related"	"Mechanical engineers"	24		273	1554	297	1496					2013
"Management, professional, and related"	"Mining and geological engineers, including mining safety engineers"	2		13		16						2013
"Management, professional, and related"	"Nuclear engineers"	0		4		4						2013
"Management, professional, and related"	"Petroleum engineers"	2		33		34						2013
"Management, professional, and related"	"Engineers, all other"	48		322	1561	371	1528					2013
"Management, professional, and related"	"Drafters"	20		85	991	104	974					2013
"Management, professional, and related"	"Engineering technicians, except drafters"	59	934	302	1027	361	1011	"y"	90	93	4836	2013
"Management, professional, and related"	"Surveying and mapping technicians"	5		43		48						2013
"Management, professional, and related"	"Agricultural and food scientists"	12		19		30						2013
"Management, professional, and related"	"Biological scientists"	53	1104	54	1233	107	1157	"y"	89	129	6708	2013
"Management, professional, and related"	"Conservation scientists and foresters"	5		23		27						2013
"Management, professional, and related"	"Medical scientists"	73	1142	58	1430	131	1216	"y"	79	288	14976	2013
"Management, professional, and related"	"Life scientists, all other"	0		1		1						2013
"Management, professional, and related"	"Astronomers and physicists"	1		13		13						2013
"Management, professional, and related"	"Atmospheric and space scientists"	2		9		11						2013
"Management, professional, and related"	"Chemists and materials scientists"	42		68	1380	109	1182					2013
"Management, professional, and related"	"Environmental scientists and geoscientists"	18		58	1392	76	1330					2013
"Management, professional, and related"	"Physical scientists, all other"	44		88	1597	132	1517					2013
"Management, professional, and related"	"Economists"	14		15		29						2013
"Management, professional, and related"	"Survey researchers"	1		0		1						2013
"Management, professional, and related"	"Psychologists"	69	1178	27		96	1267					2013
"Management, professional, and related"	"Sociologists"	3		2		4						2013
"Management, professional, and related"	"Urban and regional planners"	7		12		20						2013
"Management, professional, and related"	"Miscellaneous social scientists and related workers"	18		22		40						2013
"Management, professional, and related"	"Agricultural and food science technicians"	12		12		23						2013
"Management, professional, and related"	"Biological technicians"	8		9		16						2013
"Management, professional, and related"	"Chemical technicians"	21		41		62	849					2013
"Management, professional, and related"	"Geological and petroleum technicians"	5		18		23						2013
"Management, professional, and related"	"Nuclear technicians"	1		0		1						2013
"Management, professional, and related"	"Social science research assistants"	1		2		2						2013
"Management, professional, and related"	"Miscellaneous life, physical, and social science technicians"	47		59	911	105	761					2013
"Management, professional, and related"	"Counselors"	391	884	178	889	568	885	"y"	99	5	260	2013
"Management, professional, and related"	"Social workers"	507	818	129	978	636	845	"y"	83	160	8320	2013
"Management, professional, and related"	"Probation officers and correctional treatment specialists"	43		62	927	105	888					2013
"Management, professional, and related"	"Social and human service assistants"	68	641	34		102	668					2013
"Management, professional, and related"	"Miscellaneous community and social service specialists, including health educators and community health workers"	64	740	19		83	756					2013
"Management, professional, and related"	"Clergy"	47		296	968	343	935					2013
"Management, professional, and related"	"Directors, religious activities and education"	21		20		41						2013
"Management, professional, and related"	"Religious workers, all other"	17		17		34						2013
"Management, professional, and related"	"Lawyers"	247	1566	463	1986	710	1880	"y"	78	420	21840	2013
"Management, professional, and related"	"Judicial law clerks"	6		3		9						2013
"Management, professional, and related"	"Judges, magistrates, and other judicial workers"	19		30		49						2013
"Management, professional, and related"	"Paralegals and legal assistants"	287	825	50	923	337	846	"y"	89	98	5096	2013
"Management, professional, and related"	"Miscellaneous legal support workers"	148	787	51	1013	199	873	"y"	77	226	11752	2013
"Management, professional, and related"	"Postsecondary teachers"	424	1100	469	1338	893	1172	"y"	82	238	12376	2013
"Management, professional, and related"	"Preschool and kindergarten teachers"	484	624	12		496	638					2013
"Management, professional, and related"	"Elementary and middle school teachers"	2138	937	531	1025	2669	954	"y"	91	88	4576	2013
"Management, professional, and related"	"Secondary school teachers"	529	986	427	1093	956	1031	"y"	90	107	5564	2013
"Management, professional, and related"	"Special education teachers"	271	944	65	977	337	951	"y"	96	33	1716	2013
"Management, professional, and related"	"Other teachers and instructors"	187	729	149	1055	336	905	"y"	69	326	16952	2013
"Management, professional, and related"	"Archivists, curators, and museum technicians"	20		13		33						2013
"Management, professional, and related"	"Librarians"	121	905	28		149	919					2013
"Management, professional, and related"	"Library technicians"	14		4		18						2013
"Management, professional, and related"	"Teacher assistants"	501	475	70	501	571	479	"y"	94	26	1352	2013
"Management, professional, and related"	"Other education, training, and library workers"	91	992	39		131	1031					2013
"Management, professional, and related"	"Artists and related workers"	25		38		63	1032					2013
"Management, professional, and related"	"Designers"	244	866	270	1095	514	961	"y"	79	229	11908	2013
"Management, professional, and related"	"Actors"	10		8		18						2013
"Management, professional, and related"	"Producers and directors"	38		66	1331	104	1166					2013
"Management, professional, and related"	"Athletes, coaches, umpires, and related workers"	29		86	934	115	889					2013
"Management, professional, and related"	"Dancers and choreographers"	1		0		1						2013
"Management, professional, and related"	"Musicians, singers, and related workers"	13		33		46						2013
"Management, professional, and related"	"Entertainers and performers, sports and related workers, all other"	7		2		9						2013
"Management, professional, and related"	"Announcers"	6		13		18						2013
"Management, professional, and related"	"News analysts, reporters and correspondents"	22		46		68	1041					2013
"Management, professional, and related"	"Public relations specialists"	68	921	41		109	1129					2013
"Management, professional, and related"	"Editors"	59	988	53	1239	112	1092	"y"	79	251	13052	2013
"Management, professional, and related"	"Technical writers"	30		27		57	1364					2013
"Management, professional, and related"	"Writers and authors"	40		39		79	996					2013
"Management, professional, and related"	"Miscellaneous media and communication workers"	24		8		32						2013
"Management, professional, and related"	"Broadcast and sound engineering technicians and radio operators"	7		61	1029	68	947					2013
"Management, professional, and related"	"Photographers"	17		31		48						2013
"Management, professional, and related"	"Television, video, and motion picture camera operators and editors"	6		38		45						2013
"Management, professional, and related"	"Media and communication equipment workers, all other"	0		1		1						2013
"Management, professional, and related"	"Chiropractors"	1		12		13						2013
"Management, professional, and related"	"Dentists"	18		37		55	1533					2013
"Management, professional, and related"	"Dietitians and nutritionists"	71	864	10		82	885					2013
"Management, professional, and related"	"Optometrists"	2		11		14						2013
"Management, professional, and related"	"Pharmacists"	117	1802	98	2092	215	1960	"y"	86	290	15080	2013
"Management, professional, and related"	"Physicians and surgeons"	241	1497	426	2087	667	1885	"y"	71	590	30680	2013
"Management, professional, and related"	"Physician assistants"	67	1491	36		103	1456					2013
"Management, professional, and related"	"Podiatrists"	3		1		4						2013
"Management, professional, and related"	"Audiologists"	7		3		10						2013
"Management, professional, and related"	"Occupational therapists"	68	1240	11		78	1295					2013
"Management, professional, and related"	"Physical therapists"	87	1300	74	1457	161	1382	"y"	89	157	8164	2013
"Management, professional, and related"	"Radiation therapists"	8		4		12						2013
"Management, professional, and related"	"Recreational therapists"	8		2		10						2013
"Management, professional, and related"	"Respiratory therapists"	52	1059	44		96	1095					2013
"Management, professional, and related"	"Speech-language pathologists"	93	1191	5		98	1218					2013
"Management, professional, and related"	"Exercise physiologists"	3		1		4						2013
"Management, professional, and related"	"Therapists, all other"	77	870	19		96	864					2013
"Management, professional, and related"	"Veterinarians"	23		18		41						2013
"Management, professional, and related"	"Registered nurses"	2023	1086	254	1236	2278	1099	"y"	87	150	7800	2013
"Management, professional, and related"	"Nurse anesthetists"	14		7		22						2013
"Management, professional, and related"	"Nurse midwives"	3		0		3						2013
"Management, professional, and related"	"Nurse practitioners"	91	1539	11		102	1615					2013
"Management, professional, and related"	"Health diagnosing and treating practitioners, all other"	6		1		7						2013
"Management, professional, and related"	"Clinical laboratory technologists and technicians"	226	858	81	980	307	891	"y"	87	122	6344	2013
"Management, professional, and related"	"Dental hygienists"	80	1011	2		82	1005					2013
"Management, professional, and related"	"Diagnostic related technologists and technicians"	195	909	92	959	287	919	"y"	94	50	2600	2013
"Management, professional, and related"	"Emergency medical technicians and paramedics"	58	785	82	832	140	796	"y"	94	47	2444	2013
"Management, professional, and related"	"Health practitioner support technologists and technicians"	337	613	78	664	416	619	"y"	92	51	2652	2013
"Management, professional, and related"	"Licensed practical and licensed vocational nurses"	404	732	40		444	741					2013
