"type","occupation","women_workers","women_earnings","men_workers","men_earnings","year"
"Production, transportation, and material moving","Etchers and engravers",0,,2,,2013
"Production, transportation, and material moving","Molders, shapers, and casters, except metal and plastic",3,,28,,2013
"Production, transportation, and material moving","Paper goods machine setters, operators, and tenders",3,,18,,2013
"Production, transportation, and material moving","Tire builders",7,,16,,2013
"Production, transportation, and material moving","Helpers--production workers",9,,20,,2013
"Production, transportation, and material moving","Production workers, all other",236,501,630,619,2013
"Production, transportation, and material moving","Supervisors of transportation and material moving workers",38,,126,930,2013
"Production, transportation, and material moving","Aircraft pilots and flight engineers",7,,93,1859,2013
"Production, transportation, and material moving","Air traffic controllers and airfield operations specialists",5,,37,,2013
"Production, transportation, and material moving","Flight attendants",54,749,16,,2013
"Production, transportation, and material moving","Ambulance drivers and attendants, except emergency medical technicians",3,,9,,2013
"Production, transportation, and material moving","Bus drivers",147,556,192,597,2013
"Production, transportation, and material moving","Driver/sales workers and truck drivers",106,583,2482,738,2013
"Production, transportation, and material moving","Taxi drivers and chauffeurs",30,,172,540,2013
"Production, transportation, and material moving","Motor vehicle operators, all other",3,,37,,2013
"Production, transportation, and material moving","Locomotive engineers and operators",2,,48,,2013
"Production, transportation, and material moving","Railroad brake, signal, and switch operators",0,,11,,2013
"Production, transportation, and material moving","Railroad conductors and yardmasters",3,,43,,2013
"Production, transportation, and material moving","Subway, streetcar, and other rail transportation workers",0,,5,,2013
"Production, transportation, and material moving","Sailors and marine oilers",1,,28,,2013
"Production, transportation, and material moving","Ship and boat captains and operators",0,,32,,2013
"Production, transportation, and material moving","Ship engineers",0,,7,,2013
"Production, transportation, and material moving","Bridge and lock tenders",0,,5,,2013
"Production, transportation, and material moving","Parking lot attendants",7,,43,,2013
"Production, transportation, and material moving","Automotive and watercraft service attendants",12,,67,403,2013
"Production, transportation, and material moving","Transportation inspectors",6,,35,,2013
"Production, transportation, and material moving","Transportation attendants, except flight attendants",16,,14,,2013
"Production, transportation, and material moving","Other transportation workers",1,,15,,2013
"Production, transportation, and material moving","Conveyor operators and tenders",1,,3,,2013
"Production, transportation, and material moving","Crane and tower operators",1,,69,871,2013
"Production, transportation, and material moving","Dredge, excavating, and loading machine operators",0,,28,,2013
"Production, transportation, and material moving","Hoist and winch operators",0,,7,,2013
"Production, transportation, and material moving","Industrial truck and tractor operators",32,,510,559,2013
"Production, transportation, and material moving","Cleaners of vehicles and equipment",28,,206,434,2013
"Production, transportation, and material moving","Laborers and freight, stock, and material movers, hand",221,421,1056,524,2013
"Production, transportation, and material moving","Machine feeders and offbearers",4,,15,,2013
"Production, transportation, and material moving","Packers and packagers, hand",182,416,149,434,2013
"Production, transportation, and material moving","Pumping station operators",0,,24,,2013
"Production, transportation, and material moving","Refuse and recyclable material collectors",1,,74,555,2013
"Production, transportation, and material moving","Mine shuttle car operators",0,,3,,2013
"Production, transportation, and material moving","Tank car, truck, and ship loaders",0,,6,,2013
"Production, transportation, and material moving","Material moving workers, all other",5,,41,,2013
