"Country Name","Country Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Bulgaria","BGR","5398.55301569566","5157.85698762236","4944.63893375697","5027.31972785637","5245.46632583397","5532.63370750163","4641.4991327328","4859.19330069651","5469.40257000549","5664.72197745038","6232.33599267922","6766.12062324324","7579.58277645265","8214.32295753177","8865.90818792735","9809.39759256908","11087.7643822717","12521.0256643307","14158.4932671808","14004.5017804547","14407.605878322","15521.8213652736","15827.924852433","15940.5437767067",
"Bahrain","BHR","22928.9973682445","25643.780537623","27281.6840030701","30762.9715092098","30571.2451240644","31597.7263414449","32574.5634300895","33144.4917530845","33964.0225603368","34619.8927020988","35758.4726625002","35852.0027363683","35978.6256262044","36916.7849511827","38180.6902902419","39248.956767003","39837.0785201254","40794.0794695061","40871.6687670364","39558.5300824362","39771.8545933058","40083.3786079759","41368.6119997437","43823.506400795",
"Bahamas, The","BHS","15616.4741267754","15179.0307364242","14650.9690367007","14767.8673213295","15291.2296005141","16047.6275462352","16813.0592390772","17260.682448618","18076.6839397849","19409.3244176582","20374.2468871971","21017.9548820278","21490.1679434599","21190.8626258203","21502.3480204508","22479.1795037856","23290.942366117","23799.1636107443","23272.1699419338","22082.1494315434","22194.2294614351","22639.3138989461","23102.1712190556",,
"Bosnia and Herzegovina","BIH",,,,,"1007.29275324257","1291.02372149445","2509.28528817259","3381.00484671007","3837.08984487058","4139.10972420075","4370.05587565418","4612.74548016584","4908.79691392844","5209.57531625112","5692.10890972946","6179.37330508024","7005.52457022461","7709.89981515314","8491.83880844884","8430.93560741386","8709.88684625627","9232.51226045301","9207.62718317273","9632.38354163581",
"Belarus","BLR","5231.54315396596","5338.06512448129","4925.02647945763","4648.55666644501","4196.97425002915","3851.35981781364","4044.9982500294","4602.70602691069","5067.49817543465","5332.6304218086","5787.42097880798","6247.84147098045","6706.47020594306","7373.1036206883","8500.6953172252","9668.20379566688","11029.0988453075","12357.4443562174","13936.6552812191","14097.9627712185","15400.6551695311","16603.3895298874","17202.5031132125","17615.4617199328",
"Belize","BLZ","3332.49434272221","3728.91638561259","4195.68306502454","4484.01913706113","4497.66956282316","4518.03667598272","4547.3474227135","4655.21285765548","4738.62565346167","5075.49227192207","5702.22167012688","5960.24584668698","6195.64101290402","6733.04061472115","7056.30974961168","7309.28713346092","7688.13591702362","7785.26014667405","8039.02252504164","7923.02759152756","8123.21436108643","8188.98547488525","8458.8226958418","8441.7739449999",
"Bermuda","BMU","26267.9490800402","26317.6673041651","27097.3244371157","28424.0227169647","29001.3301443368","30688.3354579894","31857.2122559257","33686.6129524109","35121.1377197302","36622.1849614408","40581.125118258","44031.1699286504","43761.4311581094","45857.3143359342","47894.1463350205","49933.5410781326","54011.2488981125","56701.780825758","58346.5193163737","55380.753424411","55308.7875527937","54984.5103947777","53029.822716864",,
"Bolivia","BOL","2422.54184465465","2573.32536190882","2612.78882212817","2724.36213955895","2845.48635803707","2972.40523319334","3089.27051838542","3226.87930539125","3353.76378821983","3345.49862892819","3435.95302666134","3502.2075050559","3572.58772498995","3670.79052292264","3855.76039595433","4081.15201610321","4333.0481470449","4574.61387508982","4871.38160576515","4992.78595058677","5177.20930581293","5461.75263193709","5749.21639644771","6129.56267776835",
"Brazil","BRA","6475.34644668527","6680.06531383554","6692.97079310421","7061.69031855255","7481.339872003","7853.65482263305","8044.71759679586","8330.1542262273","8296.91506520393","8312.62114985295","8740.58994276804","8932.32239638294","9184.58084592242","9352.55893452222","10033.3686596087","10559.6698242807","11195.0084202673","12073.0752240553","12825.816080161","12767.2404445432","13772.8846735976","14300.7406589422","14573.545144928","15033.7808938686",
"Barbados","BRB","8436.77698482936","8436.24742970472","8174.27029018018","8427.26779007134","8923.9763768119","9220.44629152803","9534.98665094477","10290.1407694626","10798.3439645709","11200.6431070679","11676.0705073308","11591.0211309524","11794.3133330683","12207.5824357214","12658.3735502097","13518.8384255722","14656.9987029254","15222.4183597555","15496.9242646781","14896.1297232406","15039.7299814866","15374.2134863361","15566.1807005546",,
"Brunei Darussalam","BRN","49925.3900930357","51718.6491718421","53865.9020193733","53789.3256902795","55140.4919857122","57290.0994083992","58526.0077717391","57252.4345358192","56224.0461710117","57447.8616738274","59097.8536837572","60771.2666990885","62744.9933859263","64508.7567847182","65291.6559730543","66356.2215786148","70092.500456764","70789.9703665938","69573.271635072","67757.048250825","69275.9464088281","71991.0849847106","72917.2716597301","71759.0990174481",
"Bhutan","BTN","1518.27112517225","1564.80526926105","1695.04398343788","1801.38699628837","1959.01489358636","2151.79741539986","2297.29144415117","2421.75807566952","2531.6404358078","2697.68976326066","2867.92620084731","3083.92969650987","3365.46465738319","3588.31897972595","3796.22322623734","4090.41687216696","4402.39127260825","5221.10228364675","5473.83476561007","5779.77382445509","6422.94319900975","6987.59275515035","7313.96347507381","7669.24272310753",
"Botswana","BWA","5218.11144104016","5628.68836096366","5760.95647592212","5850.41548636008","6033.16290230355","6431.37381172879","6770.13057757756","7275.4757166298","7255.16016751641","7916.81840785524","8114.39521380317","8190.5780779934","8696.24103787383","9160.70093640794","9551.11101218964","10190.8747668891","11219.7791021793","12391.7597490042","13000.9337753367","11962.4230679503","13030.0608347719","13984.1434950565","14706.918527517","15675.2287474286",
"Sub-Saharan Africa (IFC classification)","CAA",,,,,,,,,,,,,,,,,,,,,,,,,
"Central African Republic","CAF","505.044102387229","507.331349011113","474.233586989732","475.556126097142","497.461648206156","531.928149960587","508.398544091218","532.668825146492","551.923823392701","568.361029424246","556.087717650495","583.680702020928","603.780488807009","573.115092957898","613.873218256835","628.452845636977","684.69639469888","746.119537602671","775.532985231148","834.924036357886","883.76844550565","912.754028902023","947.775803556108","603.595347967724",
"Canada","CAN","19870.3553696901","19846.7824790462","20257.4202482671","21024.3465846185","22300.5592564034","23191.6096444039","23787.0955051724","24942.3547703552","26087.553489102","27584.7856856468","29001.4528697961","30012.5013159433","30630.7272614471","32031.511031977","33633.9282939262","35973.4905034896","37862.4768395216","39283.9276921088","40108.2884062268","38745.107976326","39972.3361686519","41332.5300625014","41924.2806043898","43247.0443447575",
"East Asia and the Pacific (IFC classification)","CEA",,,,,,,,,,,,,,,,,,,,,,,,,
"Central Europe and the Baltics","CEB","7021.88685340797","6552.5950081364","6451.08365184831","6673.80438715743","7065.34047497686","7625.08007872895","8094.77361872414","8527.42115937215","8923.53480007639","9231.02745550217","9877.67154024669","10654.6203703036","11430.088135888","12120.42346325","13170.4242500325","14089.9389792486","15707.2930227538","17435.9161170636","19031.7651444391","19123.0278028106","19962.6474835718","21258.2734479591","21684.6987304911","22476.3102363596",
"Europe and Central Asia (IFC classification)","CEU",,,,,,,,,,,,,,,,,,,,,,,,,
"Switzerland","CHE","25323.3474357209","25603.9930666334","25889.404894372","26232.135252568","26915.3222201319","27425.0210250603","28106.2497165266","29409.0515515469","30276.374299476","30723.2654487427","32547.6033046241","33356.1511883284","34628.752435774","34573.6812025897","35887.1350463829","36963.5898358034","40971.8434406062","44698.8233988322","47945.6179245044","47316.930821718","48492.1347928325","51301.9244602482","52144.5630722609","53671.8586183458",
"Channel Islands","CHI",,,,,,,,,,,,,,,,,,,,,,,,,
"Chile","CHL","4387.53688104439","4854.80266984138","5528.42442372973","6005.81641443388","6435.28739171157","7220.99974832363","7856.35700718696","8447.30854072355","8749.38691982357","8681.56459378599","9667.94620970688","10066.9990649505","10353.8793177452","10950.1450181903","11803.2314218456","12773.4183706063","15206.8258965562","16433.861422741","16106.1979041384","15866.0690294383","18234.9843656884","20154.4226207491","21044.5830967175","21911.3009745228",
"China","CHN","1006.59120951436","1065.36457489281","1175.18760857477","1358.78140606895","1563.71644948687","1785.64009271661","1995.86643208569","2210.45038564011","2418.84224937463","2622.76070535584","2864.08945969764","3149.92087474677","3465.50128931183","3864.9794560123","4345.51097427113","4962.85733432696","5731.78576266474","6682.21119234396","7430.95955076176","8137.55252766608","9052.64842341024","10040.6298710325","10944.5112619629","11903.5963385802",
"Cote d'Ivoire","CIV","2003.21168162766","2002.22674379957","1976.48266246348","1955.54609261292","1951.58450195063","2071.42656410399","2207.84966246104","2309.38290796035","2382.91091337537","2398.45227883102","2313.99665286432","2324.88234592198","2291.27506320395","2268.76541358935","2340.31348567568","2410.60778461024","2463.68817768148","2531.34889683173","2592.99671295688","2658.59611118997","2699.88120217432","2567.02689180903","2795.0935934153","3011.92748487257",
"Latin America and the Caribbean (IFC classification)","CLA",,,,,,,,,,,,,,,,,,,,,,,,,
"Middle East and North Africa (IFC classification)","CME",,,,,,,,,,,,,,,,,,,,,,,,,
"Cameroon","CMR","1714.00050549871","1654.22502570781","1592.543904652","1533.63680252109","1484.54989092574","1522.52647911932","1583.80520913229","1647.88529357279","1703.552961577","1756.62500423584","1823.32905405846","1898.90216821935","1953.80454155096","2020.06912827305","2097.27255413729","2157.75697992973","2237.26041923099","2301.787677731","2370.14956137492","2371.42807493079","2417.79473576259","2501.87985560225","2596.04386748851","2711.04050923754",
"Congo, Rep.","COG","3409.52859641493","3513.36216896575","3592.21694713476","3547.60388833656","3334.36627621546","3444.84364081316","3557.64887796408","3495.01490529871","3562.22193661298","3423.73744248249","3668.29350933758","3798.51100934119","3937.68382962174","3953.09237320251","4098.53163224933","4437.12148979922","4720.44667297847","4626.69150620574","4828.82396081157","5074.091835571","5426.61845750421","5568.55281676281","5729.75250224592","5867.04573973378",
"Colombia","COL","5021.08358485557","5204.61211518949","5486.04866722647","5643.11469746943","5988.3408484386","6315.50922160838","6446.34063845954","6662.51893449428","6656.0820673154","6357.52746033792","6676.40156263453","6830.84542491926","6996.04254284311","7299.32113002882","7777.58765195336","8277.08822837839","8966.45081017851","9694.29026445272","10085.8409580601","10184.8168778278","10569.3166586215","11332.3419836931","11839.9921960839","12370.9430870672",
"Comoros","COM","1169.50431277379","1115.69111862919","1208.99326748384","1244.70999286195","1175.40790825794","1213.27836321879","1189.72199376388","1227.7923799196","1225.73513217871","1235.42276930119","1249.18860556764","1287.06209997841","1326.66892617257","1351.51238855859","1349.97514470544","1415.11559229121","1438.90803963937","1446.32000859484","1450.98581583076","1451.06325182954","1461.48813273841","1486.10149311825","1519.34786884858","1558.78346337287",
"Cabo Verde","CPV","1042.51587320335","1068.98466719282","1182.59622607643","1280.66803505165","1517.18878552899","1724.79019472006","1911.01750261149","2114.45180208283","2357.67212680389","2609.2607549184","2992.82293422785","3071.49314679306","3222.91238409148","3367.40646668137","3759.06573461404","4103.84246218629","4536.54009054082","5343.76441141196","5799.23878216758","5757.00685636298","5889.28623684284","6205.6623958375","6342.50180582661","6412.37601979362",
"Costa Rica","CRI","4749.91572205217","4910.62550257134","5350.73213226688","5744.31796016306","5996.93355626039","6207.28266122797","6218.62402607121","6510.96239614152","6958.22683008907","7456.67211110515","7589.86849815903","7683.28628806984","7870.19594285401","8383.28951310027","8820.95510125635","9475.10554634082","10448.8160438212","11393.7929668913","11750.7442163959","11545.8865431735","12085.3076455842","12693.6014897915","13387.5220486469","13872.4637832663",
"South Asia (IFC classification)","CSA",,,,,,,,,,,,,,,,,,,,,,,,,
"Caribbean small states","CSS","5653.64346169041","5945.00101945417","6054.44936193476","6332.10123538772","6600.72126579107","6877.39927756019","7114.4831027047","7331.64368058625","7551.31243918818","7848.36408744295","8212.28825278376","8526.42532076923","9032.20180220911","9895.61679824434","10686.0424070632","11450.7055557405","12978.8059065556","13645.9716220868","14050.2054970883","13572.1212477019","13674.9102340858","13945.4432261967","14331.8558818276","14744.4831973674",
"Cuba","CUB","8765.55907642953","8025.08118980043","7208.25310950388","6244.86138513183","6389.70880661103","6650.76311530078","7270.66862122449","7571.03345833705","7637.59637587768","8198.37434005005","8851.31426098683","9311.26028248454","9558.0513402267","10088.2675774194","10936.2696487924","12530.5785823429","14462.6229235903","15923.8040654039","16911.1935371471","17299.8359880502","17938.6245881004","18796.1925231461",,,
"Curacao","CUW",,,,,,,,,,,,,,,,,,,,,,,,,
"Cayman Islands","CYM",,,,,,,,,,,,,,,,,,,,,,,,,
"Cyprus","CYP","12295.9082850785","12471.7844429699","13588.8976509001","13675.4108121714","14487.7907379704","15410.2561828389","15799.8928569223","16271.8952162056","17180.5346345163","17984.2048182198","19461.9221167839","20949.9295271511","21375.4630491715","21809.5723659547","23197.3373717211","24408.1021837154","26349.7014170895","28462.3992208395","31815.7462913551","31798.292839727","31093.3009037556","31227.2994603949","30488.936325098","29450.0927378522",
"Czech Republic","CZE","12333.1639185961","11290.3165814768","11477.5486542698","11745.7490242242","12340.3276436963","13389.7100890703","14279.1072905646","14388.6751553004","14419.7947473252","14780.2371195739","15590.8329461354","16866.4828688615","17584.8082297135","18793.6193201838","20091.5280993326","21315.6673486168","23351.2137351813","25481.7186281069","25984.405104177","25992.9970566233","25940.1757732401","27047.0206713943","26981.4303906345","27344.2703641341",
"Germany","DEU","18532.8451820497","19981.3503601869","20669.9801467899","20812.5496258411","21705.5727896174","22463.8265158706","23037.8175886984","23542.441227367","24177.5772137937","24990.1824439016","25786.9853469365","26737.1792575676","27443.6609997968","28365.9639538333","29665.4095748877","31114.5305868241","33577.0304975777","35509.5360458212","37119.2211985762","35960.5956577281","38310.4782477668","40980.3718995026","41859.8812758903","43331.6961569095",
"Djibouti","DJI","1975.42215559696","1881.52707763699","1872.77692107205","1755.45943737151","1746.38842797275","1691.59036297952","1622.53690841844","1609.40060686694","1600.49744451825","1631.38705497096","1649.36111337767","1696.25118898658","1742.00813984441","1807.81242014654","1901.51758422733","1996.52919740062","2126.67059627052","2262.43000131647","2406.03722565514","2509.32917081716","2614.0145875616","2767.04880123682","2856.11090498374","2998.00741016262",
"Dominica","DMA","4310.86554592431","4486.32584003648","4674.06869794289","4850.22847572754","5012.62333839414","5218.60188086189","5471.23694204722","5678.93968940796","6065.83239571225","6229.32588946366","6032.94193110254","6168.78465050234","6117.24728837908","6676.6341116805","7040.64469487778","7184.89522274697","8093.26013008172","8784.30377958855","9648.5832325459","9592.10181390055","9801.26919212067","9986.35213857329","10000.9534123983","10029.5186951405",
"Denmark","DNK","18452.398327946","19264.0324960005","20026.2353708323","20416.3130304118","21928.8496698011","22952.5763716279","24048.1388663984","25253.9946276073","26136.7070318596","26921.7407178367","28851.6444541119","29458.9832332415","30756.7271406469","30444.8135682254","32265.9353375455","33193.2372898513","36078.5393333119","37662.145926726","39829.5836717529","38627.0983494011","40914.3528326962","41830.937702805","41933.5007526983","42763.7551376858",
"Dominican Republic","DOM","3088.66000480649","3157.34893659292","3498.79428840933","3766.95319747929","3862.32526206167","4084.62809146133","4378.6679915858","4729.70959327717","5033.26275908716","5361.50694474284","5702.86213506309","5847.35393009156","6185.29262747453","6198.52968107448","6356.64662001163","7063.8964977686","7942.49161555711","8719.37142474583","9227.18695437595","9488.89540642801","10211.2475028404","10738.3170660991","11208.3141392217","11695.7828348624",
"Algeria","DZA","6550.4580896322","6524.50895851905","6635.14842366213","6503.39334106307","6445.81031662145","6699.21047199489","6975.20057443069","7054.34028585769","7379.03984330948","7611.34494444593","7844.39774672109","8281.77129474293","8764.68231217847","9458.50469693969","9996.94743199087","10765.602686302","11106.5276235713","11590.8045882278","11841.5765085119","11904.4067703149","12253.4196963971","12605.771553359","13001.9521095905","13304.0120425689",
"East Asia & Pacific (developing only)","EAP","1413.11766968289","1517.18120331588","1651.84647427927","1848.53403529012","2068.43546209219","2311.81509287059","2542.33861889534","2741.48608541436","2779.89088372055","2955.34144842904","3196.00235117566","3443.95809181774","3727.38542973236","4089.22710302214","4528.9114169424","5071.37420366061","5726.14201081852","6518.83852313872","7142.54608189911","7659.040061599","8427.64861569814","9224.74044865237","10004.4949835128","10791.2152501861",
"East Asia & Pacific (all income levels)","EAS","3168.84641605242","3378.01726913883","3562.07032586348","3804.7736045107","4083.77262991851","4398.67675801619","4707.34368377671","4969.95829912276","4966.4964120628","5196.29948984836","5563.26561493279","5851.03782668963","6205.83151930083","6607.55897517564","7170.16971696176","7788.5758420375","8547.07756145334","9455.8418820727","10057.2364961183","10426.4585973064","11321.669804192","12146.6873210512","12933.6997929234","13753.3679024034",
"Europe & Central Asia (developing only)","ECA","5225.44441779655","4978.89265703","4704.6988536125","4572.96098017282","4202.98286350405","4240.31617920171","4357.08834795405","4552.81814850866","5241.45439966129","5244.61077225328","5781.51949813961","6042.5227481596","6376.75507534921","6788.94458679306","7674.79446246581","8476.58452632534","9619.15216718713","10594.3572005392","11571.6015323275","11290.1123637556","12051.4067461122","13045.7274893743","13357.4588639608","13975.1950526241",
"Europe & Central Asia (all income levels)","ECS","11168.6398891303","11409.2031639751","11407.3246181892","11468.5124487489","11683.8091729155","12126.8718935417","12554.322360472","13133.0820533177","13766.0927623483","14277.1365659836","15384.6247145588","16176.4299831465","16864.7836853589","17515.9248245076","18615.647188935","19815.8746937974","21951.0254482685","23459.0049853708","25024.9069868024","24376.9877173328","25155.4678318558","26524.7636422989","26792.2065247177","27546.5922388576",
"Ecuador","ECU","4758.39570712438","5010.34352242332","5115.66391204811","5223.37341482476","5441.6456270993","5559.64199726915","5638.94701814267","5860.85575603559","5994.41945107187","5676.59882339958","5753.72900197033","6003.2114682947","6223.8390572675","6398.42205182646","6982.52122891973","7451.18646332207","7877.57495327715","8121.90521963002","8658.89504997426","8629.86203098058","8845.60313537018","9569.40453114783","10073.1567648985","10468.7324863514",
"Egypt, Arab Rep.","EGY","3901.46765513411","4000.10315664186","4200.68663871485","4355.4856023132","4553.98306345008","4790.32197502671","5042.40978926011","5327.08787535667","5515.64916032323","5843.58284944121","6198.26247634098","6460.13385681882","6606.87721550646","6840.98327659859","7196.02241750973","7630.69105093191","8263.89088894554","8932.86809672868","9595.93128675874","9953.7494077062","10416.2523060246","10628.7473175029","10871.851089865","11084.7485964548",
"Euro area","EMU","16505.3202838565","17403.0344168934","17927.0776408583","18158.2493515025","18945.3110335351","19766.8644934341","20423.8803675429","21253.3154173941","22220.6453273124","23034.1849704508","24439.8547710067","25625.7554983415","26435.3762806188","26887.2006612054","27904.4056754272","29196.8269786136","31595.6179204975","33384.2792265483","34727.104030631","33959.2105270711","34787.4625647316","36264.0411137398","36240.9370962376","37010.2551837272",
"Eritrea","ERI",,,"711.83007802481","823.682906898218","1013.28045933092","1050.90954252158","1147.10475631406","1228.2558598475","1226.38719192975","1202.42936377722","1147.58309287934","1226.14878326273","1228.50439311594","1167.70051100753","1166.78015061835","1187.22656862962","1168.30594833093","1175.60783984355","1046.69660046179","1060.9990862685","1062.37280428574","1139.22199062014","1200.40113157587","1195.38442088589",
"Spain","ESP","13307.8544173898","14068.4901645872","14475.1779543701","14621.2638085244","15247.3181786081","15957.2099585098","16695.9817162215","17687.6580971997","18887.8021696872","19815.3010956558","21336.6903384421","22586.8511376724","23999.9252787287","24662.3563862315","25805.646577576","27232.0251835158","30207.2310605343","31938.8098238261","32870.740205358","31949.7199239515","31297.7287637671","31731.6672678097","31510.5121196157","32103.4833830297",
"Estonia","EST",,,,"5671.56496943071","5820.31760285286","6319.75750778106","6938.11120965045","7988.28294232857","8460.61887906277","8743.2646421584","9698.92445936665","10541.5665624704","11809.2124188854","13235.4763767694","14622.4783481814","16441.962812011","19133.3271808751","21581.2136294834","22124.3337238311","20036.1211589823","20602.9252680121","23310.415076731","24046.0663878968","25048.6865082576",
"Ethiopia","ETH","414.940379552522","384.525760925818","346.764282937935","387.883009131147","395.136506151504","414.405937768261","459.957464379963","468.399699299922","444.133652368064","460.404614752804","485.350253697918","522.392849004458","523.124379025933","507.244305170554","575.287602754856","645.598278878384","717.539513463118","799.021994969476","878.698999833838","938.23083840942","1041.06704373283","1149.83628690598","1239.62877680661","1353.79274120773",
"European Union","EUU","14519.7255807243","15075.514367176","15497.2849055476","15808.8737593916","16584.072447644","17389.946351647","18091.7378555492","18924.2852180282","19762.2521874288","20498.7535778517","21850.2849423596","22987.8614407838","23863.7325774317","24454.0942470324","25627.578698292","26830.036156862","29079.0856150585","30744.3829900666","32032.2942807652","31349.0490301295","32057.8251284216","33393.8941334144","33464.4842813474","34344.6526020821",
"Fragile and conflict affected situations","FCS",,,,,,,,,,,"2411.01429438708","2458.96443082012","2393.6796404188","2207.21256168541","2571.30011050831","2743.07605646103","2946.47044072438","3090.18514510076","3207.85819831514","3303.8853594652","3435.9593341129","3194.76449753072","3465.90807849362","3504.7182321141",
"Finland","FIN","17587.9172299622","16989.5076299863","16677.3808602366","16854.100475919","17765.0607974976","18782.4337092974","19259.3813336394","20943.7888737265","22568.2935642472","23613.3782672636","25700.3668510563","26563.580662508","27531.3532346275","27632.5913152804","29849.2269118287","30707.9458804719","33169.6936746189","36118.6890458137","38080.4700983394","35874.238403398","36586.1574218115","38617.9291850342","38389.3760088972","38250.6596962464",
"Fiji","FJI","3931.64289871975","3915.79397927384","4197.27284279718","4327.16661131286","4579.50932006298","4730.60485801914","4989.92899295622","4910.75689436445","4981.33950375782","5454.57746057612","5451.31968695312","5666.42649494225","5926.43088817721","6097.938857804","6582.88203799902","6812.55702158468","7103.90414727602","7166.94074517764","7308.40801702292","7197.36438412776","7224.11013592529","7439.91015499965","7676.35314076621","7948.26443802925",
